artista,fecha,visitas,,
Adam_&_the_Ants,2019-05-27,10,,
Adam_&_the_Ants,2019-05-28,10,,
Adam_&_the_Ants,2019-05-29,9,,
Adam_&_the_Ants,2019-05-30,10,,
Adam_&_the_Ants,2019-05-31,13,,
Adam_&_the_Ants,2019-06-01,8,,
Adam_&_the_Ants,2019-06-02,6,,
Adam_&_the_Ants,2019-06-03,6,,
Adam_&_the_Ants,2019-06-04,13,,
Adam_&_the_Ants,2019-06-05,32,,
Adam_&_the_Ants,2019-06-06,16,,
Adam_&_the_Ants,2019-06-07,20,,
Adam_&_the_Ants,2019-06-08,14,,
Adam_&_the_Ants,2019-06-09,15,,
Adam_&_the_Ants,2019-06-10,8,,
Adam_&_the_Ants,2019-06-11,11,,
Adam_&_the_Ants,2019-06-12,5,,
Adam_&_the_Ants,2019-06-13,8,,
Adam_&_the_Ants,2019-06-14,8,,
Adam_&_the_Ants,2019-06-15,12,,
Adam_&_the_Ants,2019-06-16,9,,
Adam_&_the_Ants,2019-06-17,14,,
Adam_&_the_Ants,2019-06-18,9,,
Adam_&_the_Ants,2019-06-19,8,,
Adam_&_the_Ants,2019-06-20,11,,
Adam_&_the_Ants,2019-06-21,9,,
Adam_&_the_Ants,2019-06-22,202,,
Adam_&_the_Ants,2019-06-23,58,,
Adam_&_the_Ants,2019-06-24,30,,
Adam_&_the_Ants,2019-06-25,57,,
Adam_&_the_Ants,2019-06-26,15,,
Adam_&_the_Ants,2019-06-27,19,,
Agoney Hernández,2019-03-25,75,,
Agoney Hernández,2019-03-26,87,,
Agoney Hernández,2019-03-27,94,,
Agoney Hernández,2019-03-28,78,,
Agoney Hernández,2019-03-29,862,,
Agoney Hernández,2019-03-30,334,,
Agoney Hernández,2019-03-31,163,,
Agoney Hernández,2019-04-01,116,,
Agoney Hernández,2019-04-02,173,,
Agoney Hernández,2019-04-03,126,,
Agoney Hernández,2019-04-04,80,,
Agoney Hernández,2019-04-05,945,,
Agoney Hernández,2019-04-06,259,,
Agoney Hernández,2019-04-07,147,,
Agoney Hernández,2019-04-08,80,,
Agoney Hernández,2019-04-09,90,,
Agoney Hernández,2019-04-10,74,,
Agoney Hernández,2019-04-11,88,,
Agoney Hernández,2019-04-12,246,,
Agoney Hernández,2019-04-13,120,,
Agoney Hernández,2019-04-14,98,,
Agoney Hernández,2019-04-15,88,,
Agoney Hernández,2019-04-16,77,,
Agoney Hernández,2019-04-17,74,,
Agoney Hernández,2019-04-18,97,,
Agoney Hernández,2019-04-19,107,,
Agoney Hernández,2019-04-20,95,,
Agoney Hernández,2019-04-21,104,,
Agoney Hernández,2019-04-22,111,,
Agoney Hernández,2019-04-23,83,,
Agoney Hernández,2019-04-24,89,,
Agoney Hernández,2019-04-25,100,,
Agoney Hernández,2019-04-26,78,,
Agoney Hernández,2019-04-27,89,,
Agoney Hernández,2019-04-28,73,,
Agoney Hernández,2019-04-29,86,,
Agoney Hernández,2019-04-30,57,,
Agoney Hernández,2019-05-01,60,,
Agoney Hernández,2019-05-02,77,,
Agoney Hernández,2019-05-03,89,,
Agoney Hernández,2019-05-04,89,,
Agoney Hernández,2019-05-05,69,,
Agoney Hernández,2019-05-06,62,,
Agoney Hernández,2019-05-07,78,,
Agoney Hernández,2019-05-08,65,,
Agoney Hernández,2019-05-09,51,,
Agoney Hernández,2019-05-10,53,,
Agoney Hernández,2019-05-11,76,,
Agoney Hernández,2019-05-12,69,,
Agoney Hernández,2019-05-13,65,,
Agoney Hernández,2019-05-14,85,,
Agoney Hernández,2019-05-15,61,,
Agoney Hernández,2019-05-16,156,,
Agoney Hernández,2019-05-17,82,,
Agoney Hernández,2019-05-18,97,,
Agoney Hernández,2019-05-19,98,,
Agoney Hernández,2019-05-20,97,,
Agoney Hernández,2019-05-21,75,,
Agoney Hernández,2019-05-22,67,,
Agoney Hernández,2019-05-23,68,,
Agoney Hernández,2019-05-24,77,,
Agoney Hernández,2019-05-25,62,,
Agoney Hernández,2019-05-26,66,,
Agoney Hernández,2019-05-27,45,,
Agoney Hernández,2019-05-28,70,,
Agoney Hernández,2019-05-29,72,,
Agoney Hernández,2019-05-30,49,,
Agoney Hernández,2019-05-31,80,,
Agoney Hernández,2019-06-01,53,,
Agoney Hernández,2019-06-02,50,,
Agoney Hernández,2019-06-03,44,,
Agoney Hernández,2019-06-04,55,,
Agoney Hernández,2019-06-05,50,,
Agoney Hernández,2019-06-06,63,,
Agoney Hernández,2019-06-07,104,,
Agoney Hernández,2019-06-08,90,,
Agoney Hernández,2019-06-09,103,,
Agoney Hernández,2019-06-10,71,,
Agoney Hernández,2019-06-11,72,,
Agoney Hernández,2019-06-12,66,,
Agoney Hernández,2019-06-13,77,,
Agoney Hernández,2019-06-14,106,,
Agoney Hernández,2019-06-15,80,,
Agoney Hernández,2019-06-16,79,,
Agoney Hernández,2019-06-17,109,,
Agoney Hernández,2019-06-18,75,,
Agoney Hernández,2019-06-19,67,,
Agoney Hernández,2019-06-20,90,,
Agoney Hernández,2019-06-21,82,,
Agoney Hernández,2019-06-22,87,,
Agoney Hernández,2019-06-23,120,,
Agoney Hernández,2019-06-24,191,,
Agoney Hernández,2019-06-25,144,,
Agoney Hernández,2019-06-26,564,,
Agoney Hernández,2019-06-27,146,,
Alaska y Dinarama,2019-03-25,171,,
Alaska y Dinarama,2019-03-26,191,,
Alaska y Dinarama,2019-03-27,150,,
Alaska y Dinarama,2019-03-28,223,,
Alaska y Dinarama,2019-03-29,201,,
Alaska y Dinarama,2019-03-30,193,,
Alaska y Dinarama,2019-03-31,215,,
Alaska y Dinarama,2019-04-01,191,,
Alaska y Dinarama,2019-04-02,185,,
Alaska y Dinarama,2019-04-03,161,,
Alaska y Dinarama,2019-04-04,153,,
Alaska y Dinarama,2019-04-05,239,,
Alaska y Dinarama,2019-04-06,193,,
Alaska y Dinarama,2019-04-07,228,,
Alaska y Dinarama,2019-04-08,172,,
Alaska y Dinarama,2019-04-09,142,,
Alaska y Dinarama,2019-04-10,143,,
Alaska y Dinarama,2019-04-11,149,,
Alaska y Dinarama,2019-04-12,160,,
Alaska y Dinarama,2019-04-13,226,,
Alaska y Dinarama,2019-04-14,208,,
Alaska y Dinarama,2019-04-15,151,,
Alaska y Dinarama,2019-04-16,164,,
Alaska y Dinarama,2019-04-17,130,,
Alaska y Dinarama,2019-04-18,170,,
Alaska y Dinarama,2019-04-19,168,,
Alaska y Dinarama,2019-04-20,209,,
Alaska y Dinarama,2019-04-21,191,,
Alaska y Dinarama,2019-04-22,168,,
Alaska y Dinarama,2019-04-23,203,,
Alaska y Dinarama,2019-04-24,150,,
Alaska y Dinarama,2019-04-25,169,,
Alaska y Dinarama,2019-04-26,156,,
Alaska y Dinarama,2019-04-27,248,,
Alaska y Dinarama,2019-04-28,203,,
Alaska y Dinarama,2019-04-29,160,,
Alaska y Dinarama,2019-04-30,130,,
Alaska y Dinarama,2019-05-01,170,,
Alaska y Dinarama,2019-05-02,165,,
Alaska y Dinarama,2019-05-03,164,,
Alaska y Dinarama,2019-05-04,278,,
Alaska y Dinarama,2019-05-05,298,,
Alaska y Dinarama,2019-05-06,229,,
Alaska y Dinarama,2019-05-07,220,,
Alaska y Dinarama,2019-05-08,226,,
Alaska y Dinarama,2019-05-09,197,,
Alaska y Dinarama,2019-05-10,194,,
Alaska y Dinarama,2019-05-11,217,,
Alaska y Dinarama,2019-05-12,220,,
Alaska y Dinarama,2019-05-13,182,,
Alaska y Dinarama,2019-05-14,178,,
Alaska y Dinarama,2019-05-15,168,,
Alaska y Dinarama,2019-05-16,170,,
Alaska y Dinarama,2019-05-17,198,,
Alaska y Dinarama,2019-05-18,179,,
Alaska y Dinarama,2019-05-19,201,,
Alaska y Dinarama,2019-05-20,148,,
Alaska y Dinarama,2019-05-21,150,,
Alaska y Dinarama,2019-05-22,166,,
Alaska y Dinarama,2019-05-23,195,,
Alaska y Dinarama,2019-05-24,234,,
Alaska y Dinarama,2019-05-25,222,,
Alaska y Dinarama,2019-05-26,228,,
Alaska y Dinarama,2019-05-27,221,,
Alaska y Dinarama,2019-05-28,177,,
Alaska y Dinarama,2019-05-29,158,,
Alaska y Dinarama,2019-05-30,192,,
Alaska y Dinarama,2019-05-31,159,,
Alaska y Dinarama,2019-06-01,209,,
Alaska y Dinarama,2019-06-02,215,,
Alaska y Dinarama,2019-06-03,163,,
Alaska y Dinarama,2019-06-04,180,,
Alaska y Dinarama,2019-06-05,216,,
Alaska y Dinarama,2019-06-06,180,,
Alaska y Dinarama,2019-06-07,170,,
Alaska y Dinarama,2019-06-08,207,,
Alaska y Dinarama,2019-06-09,224,,
Alaska y Dinarama,2019-06-10,174,,
Alaska y Dinarama,2019-06-11,178,,
Alaska y Dinarama,2019-06-12,165,,
Alaska y Dinarama,2019-06-13,330,,
Alaska y Dinarama,2019-06-14,282,,
Alaska y Dinarama,2019-06-15,155,,
Alaska y Dinarama,2019-06-16,233,,
Alaska y Dinarama,2019-06-17,204,,
Alaska y Dinarama,2019-06-18,199,,
Alaska y Dinarama,2019-06-19,195,,
Alaska y Dinarama,2019-06-20,155,,
Alaska y Dinarama,2019-06-21,172,,
Alaska y Dinarama,2019-06-22,169,,
Alaska y Dinarama,2019-06-23,205,,
Alaska y Dinarama,2019-06-24,177,,
Alaska y Dinarama,2019-06-25,313,,
Alaska y Dinarama,2019-06-26,175,,
Alaska y Dinarama,2019-06-27,177,,
Amanda Lear,2019-03-25,75,,
Amanda Lear,2019-03-26,92,,
Amanda Lear,2019-03-27,97,,
Amanda Lear,2019-03-28,67,,
Amanda Lear,2019-03-29,81,,
Amanda Lear,2019-03-30,114,,
Amanda Lear,2019-03-31,81,,
Amanda Lear,2019-04-01,89,,
Amanda Lear,2019-04-02,61,,
Amanda Lear,2019-04-03,75,,
Amanda Lear,2019-04-04,55,,
Amanda Lear,2019-04-05,61,,
Amanda Lear,2019-04-06,107,,
Amanda Lear,2019-04-07,230,,
Amanda Lear,2019-04-08,113,,
Amanda Lear,2019-04-09,86,,
Amanda Lear,2019-04-10,70,,
Amanda Lear,2019-04-11,81,,
Amanda Lear,2019-04-12,60,,
Amanda Lear,2019-04-13,89,,
Amanda Lear,2019-04-14,100,,
Amanda Lear,2019-04-15,89,,
Amanda Lear,2019-04-16,69,,
Amanda Lear,2019-04-17,77,,
Amanda Lear,2019-04-18,88,,
Amanda Lear,2019-04-19,86,,
Amanda Lear,2019-04-20,137,,
Amanda Lear,2019-04-21,89,,
Amanda Lear,2019-04-22,109,,
Amanda Lear,2019-04-23,108,,
Amanda Lear,2019-04-24,77,,
Amanda Lear,2019-04-25,84,,
Amanda Lear,2019-04-26,86,,
Amanda Lear,2019-04-27,82,,
Amanda Lear,2019-04-28,74,,
Amanda Lear,2019-04-29,63,,
Amanda Lear,2019-04-30,64,,
Amanda Lear,2019-05-01,102,,
Amanda Lear,2019-05-02,121,,
Amanda Lear,2019-05-03,156,,
Amanda Lear,2019-05-04,96,,
Amanda Lear,2019-05-05,89,,
Amanda Lear,2019-05-06,108,,
Amanda Lear,2019-05-07,105,,
Amanda Lear,2019-05-08,79,,
Amanda Lear,2019-05-09,52,,
Amanda Lear,2019-05-10,84,,
Amanda Lear,2019-05-11,152,,
Amanda Lear,2019-05-12,86,,
Amanda Lear,2019-05-13,77,,
Amanda Lear,2019-05-14,86,,
Amanda Lear,2019-05-15,114,,
Amanda Lear,2019-05-16,69,,
Amanda Lear,2019-05-17,73,,
Amanda Lear,2019-05-18,91,,
Amanda Lear,2019-05-19,127,,
Amanda Lear,2019-05-20,76,,
Amanda Lear,2019-05-21,73,,
Amanda Lear,2019-05-22,53,,
Amanda Lear,2019-05-23,64,,
Amanda Lear,2019-05-24,77,,
Amanda Lear,2019-05-25,84,,
Amanda Lear,2019-05-26,88,,
Amanda Lear,2019-05-27,162,,
Amanda Lear,2019-05-28,94,,
Amanda Lear,2019-05-29,82,,
Amanda Lear,2019-05-30,67,,
Amanda Lear,2019-05-31,73,,
Amanda Lear,2019-06-01,104,,
Amanda Lear,2019-06-02,71,,
Amanda Lear,2019-06-03,72,,
Amanda Lear,2019-06-04,76,,
Amanda Lear,2019-06-05,81,,
Amanda Lear,2019-06-06,93,,
Amanda Lear,2019-06-07,75,,
Amanda Lear,2019-06-08,79,,
Amanda Lear,2019-06-09,88,,
Amanda Lear,2019-06-10,71,,
Amanda Lear,2019-06-11,89,,
Amanda Lear,2019-06-12,75,,
Amanda Lear,2019-06-13,118,,
Amanda Lear,2019-06-14,68,,
Amanda Lear,2019-06-15,59,,
Amanda Lear,2019-06-16,107,,
Amanda Lear,2019-06-17,76,,
Amanda Lear,2019-06-18,65,,
Amanda Lear,2019-06-19,67,,
Amanda Lear,2019-06-20,133,,
Amanda Lear,2019-06-21,67,,
Amanda Lear,2019-06-22,106,,
Amanda Lear,2019-06-23,156,,
Amanda Lear,2019-06-24,80,,
Amanda Lear,2019-06-25,762,,
Amanda Lear,2019-06-26,123,,
Amanda Lear,2019-06-27,86,,
Antonio Flores,2019-03-25,34,,
Antonio Flores,2019-03-26,18,,
Antonio Flores,2019-03-27,16,,
Antonio Flores,2019-03-28,16,,
Antonio Flores,2019-03-29,10,,
Antonio Flores,2019-03-30,14,,
Antonio Flores,2019-03-31,21,,
Antonio Flores,2019-04-01,33,,
Antonio Flores,2019-04-02,30,,
Antonio Flores,2019-04-03,18,,
Antonio Flores,2019-04-04,20,,
Antonio Flores,2019-04-05,19,,
Antonio Flores,2019-04-06,27,,
Antonio Flores,2019-04-07,24,,
Antonio Flores,2019-04-08,32,,
Antonio Flores,2019-04-09,85,,
Antonio Flores,2019-04-10,76,,
Antonio Flores,2019-04-11,19,,
Antonio Flores,2019-04-12,23,,
Antonio Flores,2019-04-13,25,,
Antonio Flores,2019-04-14,25,,
Antonio Flores,2019-04-15,20,,
Antonio Flores,2019-04-16,23,,
Antonio Flores,2019-04-17,10,,
Antonio Flores,2019-04-18,25,,
Antonio Flores,2019-04-19,19,,
Antonio Flores,2019-04-20,19,,
Antonio Flores,2019-04-21,25,,
Antonio Flores,2019-04-22,27,,
Antonio Flores,2019-04-23,25,,
Antonio Flores,2019-04-24,20,,
Antonio Flores,2019-04-25,27,,
Antonio Flores,2019-04-26,15,,
Antonio Flores,2019-04-27,15,,
Antonio Flores,2019-04-28,18,,
Antonio Flores,2019-04-29,18,,
Antonio Flores,2019-04-30,11,,
Antonio Flores,2019-05-01,17,,
Antonio Flores,2019-05-02,14,,
Antonio Flores,2019-05-03,10,,
Antonio Flores,2019-05-04,11,,
Antonio Flores,2019-05-05,28,,
Antonio Flores,2019-05-06,25,,
Antonio Flores,2019-05-07,18,,
Antonio Flores,2019-05-08,14,,
Antonio Flores,2019-05-09,21,,
Antonio Flores,2019-05-10,22,,
Antonio Flores,2019-05-11,49,,
Antonio Flores,2019-05-12,20,,
Antonio Flores,2019-05-13,24,,
Antonio Flores,2019-05-14,22,,
Antonio Flores,2019-05-15,16,,
Antonio Flores,2019-05-16,42,,
Antonio Flores,2019-05-17,41,,
Antonio Flores,2019-05-18,33,,
Antonio Flores,2019-05-19,34,,
Antonio Flores,2019-05-20,31,,
Antonio Flores,2019-05-21,19,,
Antonio Flores,2019-05-22,23,,
Antonio Flores,2019-05-23,15,,
Antonio Flores,2019-05-24,13,,
Antonio Flores,2019-05-25,42,,
Antonio Flores,2019-05-26,19,,
Antonio Flores,2019-05-27,15,,
Antonio Flores,2019-05-28,21,,
Antonio Flores,2019-05-29,9,,
Antonio Flores,2019-05-30,27,,
Antonio Flores,2019-05-31,23,,
Antonio Flores,2019-06-01,9,,
Antonio Flores,2019-06-02,15,,
Antonio Flores,2019-06-03,22,,
Antonio Flores,2019-06-04,17,,
Antonio Flores,2019-06-05,15,,
Antonio Flores,2019-06-06,19,,
Antonio Flores,2019-06-07,24,,
Antonio Flores,2019-06-08,21,,
Antonio Flores,2019-06-09,28,,
Antonio Flores,2019-06-10,28,,
Antonio Flores,2019-06-11,32,,
Antonio Flores,2019-06-12,12,,
Antonio Flores,2019-06-13,23,,
Antonio Flores,2019-06-14,17,,
Antonio Flores,2019-06-15,15,,
Antonio Flores,2019-06-16,17,,
Antonio Flores,2019-06-17,24,,
Antonio Flores,2019-06-18,21,,
Antonio Flores,2019-06-19,28,,
Antonio Flores,2019-06-20,19,,
Antonio Flores,2019-06-21,26,,
Antonio Flores,2019-06-22,25,,
Antonio Flores,2019-06-23,20,,
Antonio Flores,2019-06-24,25,,
Antonio Flores,2019-06-25,41,,
Antonio Flores,2019-06-26,14,,
Antonio Flores,2019-06-27,8,,
Army of Lovers,2019-03-25,16,,
Army of Lovers,2019-03-26,16,,
Army of Lovers,2019-03-27,9,,
Army of Lovers,2019-03-28,20,,
Army of Lovers,2019-03-29,11,,
Army of Lovers,2019-03-30,14,,
Army of Lovers,2019-03-31,17,,
Army of Lovers,2019-04-01,15,,
Army of Lovers,2019-04-02,8,,
Army of Lovers,2019-04-03,16,,
Army of Lovers,2019-04-04,6,,
Army of Lovers,2019-04-05,18,,
Army of Lovers,2019-04-06,9,,
Army of Lovers,2019-04-07,20,,
Army of Lovers,2019-04-08,12,,
Army of Lovers,2019-04-09,17,,
Army of Lovers,2019-04-10,13,,
Army of Lovers,2019-04-11,15,,
Army of Lovers,2019-04-12,18,,
Army of Lovers,2019-04-13,20,,
Army of Lovers,2019-04-14,4,,
Army of Lovers,2019-04-15,6,,
Army of Lovers,2019-04-16,14,,
Army of Lovers,2019-04-17,20,,
Army of Lovers,2019-04-18,9,,
Army of Lovers,2019-04-19,18,,
Army of Lovers,2019-04-20,13,,
Army of Lovers,2019-04-21,7,,
Army of Lovers,2019-04-22,22,,
Army of Lovers,2019-04-23,20,,
Army of Lovers,2019-04-24,10,,
Army of Lovers,2019-04-25,27,,
Army of Lovers,2019-04-26,20,,
Army of Lovers,2019-04-27,8,,
Army of Lovers,2019-04-28,25,,
Army of Lovers,2019-04-29,15,,
Army of Lovers,2019-04-30,20,,
Army of Lovers,2019-05-01,23,,
Army of Lovers,2019-05-02,22,,
Army of Lovers,2019-05-03,22,,
Army of Lovers,2019-05-04,20,,
Army of Lovers,2019-05-05,19,,
Army of Lovers,2019-05-06,11,,
Army of Lovers,2019-05-07,13,,
Army of Lovers,2019-05-08,24,,
Army of Lovers,2019-05-09,8,,
Army of Lovers,2019-05-10,11,,
Army of Lovers,2019-05-11,24,,
Army of Lovers,2019-05-12,17,,
Army of Lovers,2019-05-13,12,,
Army of Lovers,2019-05-14,11,,
Army of Lovers,2019-05-15,15,,
Army of Lovers,2019-05-16,11,,
Army of Lovers,2019-05-17,15,,
Army of Lovers,2019-05-18,33,,
Army of Lovers,2019-05-19,39,,
Army of Lovers,2019-05-20,21,,
Army of Lovers,2019-05-21,18,,
Army of Lovers,2019-05-22,15,,
Army of Lovers,2019-05-23,16,,
Army of Lovers,2019-05-24,13,,
Army of Lovers,2019-05-25,17,,
Army of Lovers,2019-05-26,29,,
Army of Lovers,2019-05-27,19,,
Army of Lovers,2019-05-28,14,,
Army of Lovers,2019-05-29,22,,
Army of Lovers,2019-05-30,22,,
Army of Lovers,2019-05-31,22,,
Army of Lovers,2019-06-01,25,,
Army of Lovers,2019-06-02,16,,
Army of Lovers,2019-06-03,11,,
Army of Lovers,2019-06-04,17,,
Army of Lovers,2019-06-05,16,,
Army of Lovers,2019-06-06,12,,
Army of Lovers,2019-06-07,6,,
Army of Lovers,2019-06-08,13,,
Army of Lovers,2019-06-09,13,,
Army of Lovers,2019-06-10,10,,
Army of Lovers,2019-06-11,10,,
Army of Lovers,2019-06-12,6,,
Army of Lovers,2019-06-13,15,,
Army of Lovers,2019-06-14,20,,
Army of Lovers,2019-06-15,26,,
Army of Lovers,2019-06-16,14,,
Army of Lovers,2019-06-17,24,,
Army of Lovers,2019-06-18,20,,
Army of Lovers,2019-06-19,12,,
Army of Lovers,2019-06-20,17,,
Army of Lovers,2019-06-21,21,,
Army of Lovers,2019-06-22,9,,
Army of Lovers,2019-06-23,22,,
Army of Lovers,2019-06-24,16,,
Army of Lovers,2019-06-25,61,,
Army of Lovers,2019-06-26,33,,
Army of Lovers,2019-06-27,18,,
Beyoncé,2019-03-25,1258,,
Beyoncé,2019-03-26,1049,,
Beyoncé,2019-03-27,1099,,
Beyoncé,2019-03-28,1075,,
Beyoncé,2019-03-29,1090,,
Beyoncé,2019-03-30,1095,,
Beyoncé,2019-03-31,1382,,
Beyoncé,2019-04-01,1837,,
Beyoncé,2019-04-02,1106,,
Beyoncé,2019-04-03,1039,,
Beyoncé,2019-04-04,1200,,
Beyoncé,2019-04-05,1217,,
Beyoncé,2019-04-06,1199,,
Beyoncé,2019-04-07,1183,,
Beyoncé,2019-04-08,1325,,
Beyoncé,2019-04-09,1696,,
Beyoncé,2019-04-10,1356,,
Beyoncé,2019-04-11,1328,,
Beyoncé,2019-04-12,1070,,
Beyoncé,2019-04-13,1032,,
Beyoncé,2019-04-14,1479,,
Beyoncé,2019-04-15,1041,,
Beyoncé,2019-04-16,914,,
Beyoncé,2019-04-17,4150,,
Beyoncé,2019-04-18,8493,,
Beyoncé,2019-04-19,9879,,
Beyoncé,2019-04-20,7877,,
Beyoncé,2019-04-21,6975,,
Beyoncé,2019-04-22,4603,,
Beyoncé,2019-04-23,3764,,
Beyoncé,2019-04-24,3418,,
Beyoncé,2019-04-25,2917,,
Beyoncé,2019-04-26,3275,,
Beyoncé,2019-04-27,3495,,
Beyoncé,2019-04-28,2963,,
Beyoncé,2019-04-29,1950,,
Beyoncé,2019-04-30,1816,,
Beyoncé,2019-05-01,2244,,
Beyoncé,2019-05-02,1928,,
Beyoncé,2019-05-03,1739,,
Beyoncé,2019-05-04,1932,,
Beyoncé,2019-05-05,2134,,
