artista,fecha,visitas,diferencia
Bom Bom Chip,2019-03-11,18,123
Bom Bom Chip,2019-03-12,11,
Bom Bom Chip,2019-03-13,25,
Bom Bom Chip,2019-03-14,30,
Bom Bom Chip,2019-03-15,24,
Bom Bom Chip,2019-03-16,25,
Bom Bom Chip,2019-03-17,16,
Bom Bom Chip,2019-03-18,16,
Bom Bom Chip,2019-03-19,22,
Bom Bom Chip,2019-03-20,15,
Bom Bom Chip,2019-03-21,32,
Bom Bom Chip,2019-03-22,19,
Bom Bom Chip,2019-03-23,21,
Bom Bom Chip,2019-03-24,30,
Bom Bom Chip,2019-03-25,18,
Bom Bom Chip,2019-03-26,21,
Bom Bom Chip,2019-03-27,19,
Bom Bom Chip,2019-03-28,19,
Bom Bom Chip,2019-03-29,19,
Bom Bom Chip,2019-03-30,17,
Bom Bom Chip,2019-03-31,18,
Bom Bom Chip,2019-04-01,19,
Bom Bom Chip,2019-04-02,39,
Bom Bom Chip,2019-04-03,22,
Bom Bom Chip,2019-04-04,16,
Bom Bom Chip,2019-04-05,27,
Bom Bom Chip,2019-04-06,32,
Bom Bom Chip,2019-04-07,10,
Bom Bom Chip,2019-04-08,17,
Bom Bom Chip,2019-04-09,10,
Bom Bom Chip,2019-04-10,15,
Bom Bom Chip,2019-04-11,29,
Bom Bom Chip,2019-04-12,19,
Bom Bom Chip,2019-04-13,22,
Bom Bom Chip,2019-04-14,22,
Bom Bom Chip,2019-04-15,19,
Bom Bom Chip,2019-04-16,11,
Bom Bom Chip,2019-04-17,17,
Bom Bom Chip,2019-04-18,15,
Bom Bom Chip,2019-04-19,13,
Bom Bom Chip,2019-04-20,18,
Bom Bom Chip,2019-04-21,13,
Bom Bom Chip,2019-04-22,11,
Bom Bom Chip,2019-04-23,15,
Bom Bom Chip,2019-04-24,13,
Bom Bom Chip,2019-04-25,24,
Bom Bom Chip,2019-04-26,23,
Bom Bom Chip,2019-04-27,25,
Bom Bom Chip,2019-04-28,17,
Bom Bom Chip,2019-04-29,11,
Bom Bom Chip,2019-04-30,16,
Bom Bom Chip,2019-05-01,20,
Bom Bom Chip,2019-05-02,18,
Bom Bom Chip,2019-05-03,12,
Bom Bom Chip,2019-05-04,26,
Bom Bom Chip,2019-05-05,28,
Bom Bom Chip,2019-05-06,25,
Bom Bom Chip,2019-05-07,14,
Bom Bom Chip,2019-05-08,16,
Bom Bom Chip,2019-05-09,28,
Bom Bom Chip,2019-05-10,17,
Bom Bom Chip,2019-05-11,16,
Bom Bom Chip,2019-05-12,16,
Bom Bom Chip,2019-05-13,1247,
Bom Bom Chip,2019-05-14,225,
Bom Bom Chip,2019-05-15,82,
Bom Bom Chip,2019-05-16,43,
Bom Bom Chip,2019-05-17,41,
Bom Bom Chip,2019-05-18,28,
Bom Bom Chip,2019-05-19,41,
Bom Bom Chip,2019-05-20,29,
Bom Bom Chip,2019-05-21,32,
Bom Bom Chip,2019-05-22,21,
Bom Bom Chip,2019-05-23,24,
Bom Bom Chip,2019-05-24,19,
Bom Bom Chip,2019-05-25,254,
Bom Bom Chip,2019-05-26,32,
Bom Bom Chip,2019-05-27,719,
Bom Bom Chip,2019-05-28,70,
Bom Bom Chip,2019-05-29,38,
Bom Bom Chip,2019-05-30,29,
Bom Bom Chip,2019-05-31,31,
Bom Bom Chip,2019-06-01,98,
Bom Bom Chip,2019-06-02,20,
Bom Bom Chip,2019-06-03,22,
Bom Bom Chip,2019-06-04,27,
Bom Bom Chip,2019-06-05,17,
Bom Bom Chip,2019-06-06,16,
Bom Bom Chip,2019-06-07,43,
Bom Bom Chip,2019-06-08,25,
Bom Bom Chip,2019-06-09,22,
Bom Bom Chip,2019-06-10,35,
Bom Bom Chip,2019-06-11,105,
Bom Bom Chip,2019-06-12,24,
Bom Bom Chip,2019-06-13,17,
Bom Bom Chip,2019-06-14,25,
Bom Bom Chip,2019-06-15,21,
Bom Bom Chip,2019-06-16,23,
Bom Bom Chip,2019-06-17,24,
Bom Bom Chip,2019-06-18,47,
Chantal Goya,2019-03-11,4,1400
Chantal Goya,2019-03-12,1,
Chantal Goya,2019-03-13,1,
Chantal Goya,2019-03-14,5,
Chantal Goya,2019-03-15,3,
Chantal Goya,2019-03-16,3,
Chantal Goya,2019-03-17,3,
Chantal Goya,2019-03-18,4,
Chantal Goya,2019-03-19,7,
Chantal Goya,2019-03-20,2,
Chantal Goya,2019-03-21,2,
Chantal Goya,2019-03-23,2,
Chantal Goya,2019-03-24,1,
Chantal Goya,2019-03-25,2,
Chantal Goya,2019-03-26,3,
Chantal Goya,2019-03-27,5,
Chantal Goya,2019-03-28,3,
Chantal Goya,2019-03-29,5,
Chantal Goya,2019-03-30,4,
Chantal Goya,2019-03-31,4,
Chantal Goya,2019-04-01,5,
Chantal Goya,2019-04-02,3,
Chantal Goya,2019-04-03,6,
Chantal Goya,2019-04-04,3,
Chantal Goya,2019-04-05,1,
Chantal Goya,2019-04-06,3,
Chantal Goya,2019-04-07,9,
Chantal Goya,2019-04-08,5,
Chantal Goya,2019-04-09,5,
Chantal Goya,2019-04-10,7,
Chantal Goya,2019-04-11,1,
Chantal Goya,2019-04-12,6,
Chantal Goya,2019-04-13,1,
Chantal Goya,2019-04-14,5,
Chantal Goya,2019-04-15,7,
Chantal Goya,2019-04-16,3,
Chantal Goya,2019-04-17,3,
Chantal Goya,2019-04-18,3,
Chantal Goya,2019-04-19,9,
Chantal Goya,2019-04-20,8,
Chantal Goya,2019-04-21,2,
Chantal Goya,2019-04-22,6,
Chantal Goya,2019-04-23,5,
Chantal Goya,2019-04-24,6,
Chantal Goya,2019-04-25,3,
Chantal Goya,2019-04-26,5,
Chantal Goya,2019-04-27,7,
Chantal Goya,2019-04-28,7,
Chantal Goya,2019-04-29,2,
Chantal Goya,2019-04-30,11,
Chantal Goya,2019-05-01,4,
Chantal Goya,2019-05-02,8,
Chantal Goya,2019-05-03,15,
Chantal Goya,2019-05-04,6,
Chantal Goya,2019-05-05,10,
Chantal Goya,2019-05-06,10,
Chantal Goya,2019-05-07,9,
Chantal Goya,2019-05-08,6,
Chantal Goya,2019-05-09,4,
Chantal Goya,2019-05-10,12,
Chantal Goya,2019-05-11,3,
Chantal Goya,2019-05-12,1,
Chantal Goya,2019-05-13,10,
Chantal Goya,2019-05-14,8,
Chantal Goya,2019-05-15,6,
Chantal Goya,2019-05-16,7,
Chantal Goya,2019-05-17,6,
Chantal Goya,2019-05-18,5,
Chantal Goya,2019-05-19,3,
Chantal Goya,2019-05-20,4,
Chantal Goya,2019-05-21,3,
Chantal Goya,2019-05-22,2,
Chantal Goya,2019-05-23,5,
Chantal Goya,2019-05-24,10,
Chantal Goya,2019-05-25,1,
Chantal Goya,2019-05-26,4,
Chantal Goya,2019-05-27,7,
Chantal Goya,2019-05-28,4,
Chantal Goya,2019-05-29,8,
Chantal Goya,2019-05-30,5,
Chantal Goya,2019-05-31,9,
Chantal Goya,2019-06-01,12,
Chantal Goya,2019-06-02,3,
Chantal Goya,2019-06-03,8,
Chantal Goya,2019-06-04,10,
